id,name_levenshtein_simple,name_trigram_simple,name_levenshtein_term,name_trigram_term,city_levenshtein_simple,city_trigram_simple,city_levenshtein_term,city_trigram_term,zip_levenshtein_simple,zip_trigram_simple,zip_levenshtein_term,zip_trigram_term,street_levenshtein_simple,street_trigram_simple,street_levenshtein_term,street_trigram_term,website_levenshtein_simple,website_trigram_simple,website_levenshtein_term,website_trigram_term,phone_levenshtein,phone_trigram,fax_levenshtein,fax_trigram,street_number_levenshtein,street_number_trigram,phone_equality,fax_equality,street_number_equality,is_match
1204#1207,0.666667,0.666667,0.4,0.526316,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
1272#1279,0.666667,0.666667,0.411765,0.444444,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
6258#6259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
16076#16077,0.565476,0.333333,0.26087,0.189189,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,0.0,0.0,s,m,n,-1
2666#2671,0.666667,0.666667,0.5,0.518519,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
4402#4403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
4025#4028,0.121032,0,0.185185,0,1,1,1,1,0.8,0.333333,0.8,0.333333,0.380952,0.333333,0.428571,0.16,?,?,?,?,?,?,?,?,0.5,0.25,m,m,n,-1
4126#4138,0.355556,0.25,0.333333,0.159091,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.6,0.222222223878,m,m,n,-1
4559#4560,0.167298,0,0.173913,0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
15610#15611,0.208333,0,0.266667,0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
7068#7070,0.714286,0.6,0.285714,0.529412,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
8946#8941,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
362#367,0.571429,0.571429,0.461538,0.387097,?,?,?,?,?,?,?,?,?,?,?,?,0.598333,0.504,0.484848,0.291667,0.333333333333,0.0833333358169,?,?,0.5,0.25,n,m,n,+1
