,browser,cc
0,Opera,19.6
1,Baidu Browser,0.16666666666666666
2,IE,4008.633333333333
3,Firefox,2093.1
4,NetFront NX,0.43333333333333335
5,Chromium,8.266666666666667
6,Sogou Explorer,18.333333333333332
7,Maxthon,5.6
8,Googlebot,1.2
9,Rekonq,0.03333333333333333
10,Iceweasel,0.06666666666666667
11,Firefox Beta,0.03333333333333333
12,WebKit Nightly,0.03333333333333333
13,Epiphany,0.03333333333333333
14,Konqueror,0.03333333333333333
15,Python Requests,0.03333333333333333
16,Seamonkey,0.03333333333333333
17,IE Mobile,1.2666666666666666
18,Safari,1885.6
19,Opera Mobile,927.3666666666667
20,Chrome,38264.8
21,Other,2117.4
22,Android,96.1
23,QQ Browser,42.266666666666666
24,MAXTHON,75.6
25,aBrowser,0.5
26,Chrome Frame,0.1
27,Mobile Safari,43255.13333333333
28,Chrome Mobile,41901.666666666664
29,Chrome Mobile iOS,6808.6
30,UC Browser,56.333333333333336
31,Firefox Mobile,108.4
32,Opera Mini,3.433333333333333
33,Yandex Browser,53.0
34,Pale Moon (Firefox Variant),6.466666666666667
35,BingPreview,15.266666666666667
36,FacebookBot,1.8666666666666667
37,Lunascape,0.13333333333333333
38,BlackBerry WebKit,1.9666666666666666
39,SeaMonkey,0.16666666666666666
40,Nokia,0.03333333333333333
41,K-Meleon,0.4666666666666667
42,Kindle,0.03333333333333333
43,Sleipnir,0.13333333333333333
