"title","id","addr","cate.major","cate.minor","avg.cost","url"
"早吧Morning Bar","1073358","台北市士林區美崙街32號","早餐","西式早餐",99,"http://www.ipeen.com.tw/shop/1073358-早吧Morning-Bar"
"阜杭豆漿店","27702","台北市中正區忠孝東路一段108號2樓","早餐","中式早餐",79,"http://www.ipeen.com.tw/shop/27702-阜杭豆漿店"
"好初早餐","107143","新北市板橋區文化路二段125巷70號","早餐","其他類型早餐",135,"http://www.ipeen.com.tw/shop/107143-好初早餐"
"豐盛號","613262","台北市士林區中正路223巷4號1樓","早餐","早午餐",113,"http://www.ipeen.com.tw/shop/613262-豐盛號"
"陳根找茶","49644","台北市信義區莊敬路391巷7號","早餐","西式早餐",104,"http://www.ipeen.com.tw/shop/49644-陳根找茶"
"好初早餐Deli(二號店)","783672","新北市板橋區建國街118號","早餐","西式早餐",152,"http://www.ipeen.com.tw/shop/783672-好初早餐Deli-二號店"
"Butter巴特早午餐","632396","彰化縣彰化市旭光路343號","早餐","其他類型早餐",129,"http://www.ipeen.com.tw/shop/632396-Butter巴特早午餐"
"熱樂煎爆漿乳酪三明治(高雄店)","1031302","高雄市三民區博愛一路330號","早餐","西式早餐",134,"http://www.ipeen.com.tw/shop/1031302-熱樂煎爆漿乳酪三明治-高雄店"
"Butter 巴特2店 Brunch&cafe","1013648","台中市西區五權西四街13巷10號","早餐","早午餐",248,"http://www.ipeen.com.tw/shop/1013648-Butter-巴特2店-Brunch-cafe"
"丘比手作土司早午餐 Cube Brunch","921008","台北市中正區忠孝東路一段108號2樓","早餐","西式早餐",134,"http://www.ipeen.com.tw/shop/921008-丘比手作土司早午餐-Cube-Brunch"
"豐滿咖啡早午餐","636800","新北市板橋區雨農路18巷1號","早餐","早午餐",175,"http://www.ipeen.com.tw/shop/636800-豐滿咖啡早午餐"
"BUS蛋餅坊","43355","台北市內湖區內湖路二段193號","早餐","西式早餐",71,"http://www.ipeen.com.tw/shop/43355-BUS蛋餅坊"
"奇米鄉村廚房 Kimi House","809504","台中市大里區永隆路520號","早餐","西式早餐",220,"http://www.ipeen.com.tw/shop/809504-奇米鄉村廚房-Kimi-House"
"就是要吃早餐","998628","新北市板橋區江寧路三段55巷5號","早餐","西式早餐",102,"http://www.ipeen.com.tw/shop/998628-就是要吃早餐"
"高三孝碳烤吐司","1002774","台北市中正區南昌路一段31巷11-4號","早餐","西式早餐",100,"http://www.ipeen.com.tw/shop/1002774-高三孝碳烤吐司"
"長勝君捲蛋餅","1138883","台北市松山區興安街214號","早餐","早午餐",132,"http://www.ipeen.com.tw/shop/1138883-長勝君捲蛋餅"
"Right Caf'e X 對了 出發","1051132","台中市西區五權西四街13巷14號","早餐","早午餐",252,"http://www.ipeen.com.tw/shop/1051132-Right-Caf-e-X-對了-出發"
"AM食光","596754","台中市西區向上路一段79巷78號","早餐","西式早餐",179,"http://www.ipeen.com.tw/shop/596754-AM食光"
"捲餅咬鹿","978850","台北市中山區錦州街315號","早餐","其他類型早餐",115,"http://www.ipeen.com.tw/shop/978850-捲餅咬鹿"
"可蜜達炭烤吐司","1032652","台北市中山區林森北路310巷24號","早餐","其他類型早餐",112,"http://www.ipeen.com.tw/shop/1032652-可蜜達炭烤吐司"
"Halla","979534","新北市板橋區中山路一段158巷21號","早餐","西式早餐",212,"http://www.ipeen.com.tw/shop/979534-Halla"
"遇見美好","1045752","台北市中山區農安街166巷11號","早餐","西式早餐",215,"http://www.ipeen.com.tw/shop/1045752-遇見美好"
"Daylight光合箱子(台北南京店)","1013638","台北市松山區南京東路三段303巷8弄5號","早餐","西式早餐",386,"http://www.ipeen.com.tw/shop/1013638-Daylight光合箱子-台北南京店"
"重慶豆漿","50320","台北市大同區重慶北路三段335巷32號","早餐","中式早餐",43,"http://www.ipeen.com.tw/shop/50320-重慶豆漿"
"Miano 米亞諾早午餐‧手工抹醬","122313","台中市西區美村路一段264號","早餐","其他類型早餐",188,"http://www.ipeen.com.tw/shop/122313-Miano-米亞諾早午餐‧手工抹醬"
"找餐2店","593994","台北市信義區吳興街284巷20弄27號1樓","早餐","西式早餐",119,"http://www.ipeen.com.tw/shop/593994-找餐2店"
"肉蛋炭烤三明治(通化店)","1022568","台北市大安區通化街38巷11號","早餐","其他類型早餐",87,"http://www.ipeen.com.tw/shop/1022568-肉蛋炭烤三明治-通化店"
"勝利早點","39684","台南市東區勝利路119號","早餐","其他類型早餐",48,"http://www.ipeen.com.tw/shop/39684-勝利早點"
"燒肉咬蛋(辛亥店)","977060","高雄市左營區辛亥路201號","早餐","其他類型早餐",110,"http://www.ipeen.com.tw/shop/977060-燒肉咬蛋-辛亥店"
"Mumu小客廳","929882","台南市中西區開山路35巷16號","早餐","西式早餐",243,"http://www.ipeen.com.tw/shop/929882-Mumu小客廳"
"初鹿小站二店","1022210","新北市板橋區文化路一段387巷16號","早餐","其他類型早餐",122,"http://www.ipeen.com.tw/shop/1022210-初鹿小站二店"
"雅米早午餐","55719","新北市板橋區陽明街28號","早餐","西式早餐",89,"http://www.ipeen.com.tw/shop/55719-雅米早午餐"
"早吧Morning Bar","1073358","台北市士林區美崙街32號","早餐","西式早餐",99,"http://www.ipeen.com.tw/shop/1073358-早吧Morning-Bar"
"燒肉咬蛋(原MISS肉蛋吐司)","636446","高雄市前金區自強三路222號","早餐","其他類型早餐",67,"http://www.ipeen.com.tw/shop/636446-燒肉咬蛋-原MISS肉蛋吐司"
"日光徐徐","618422","高雄市苓雅區四維三路100號","早餐","西式早餐",158,"http://www.ipeen.com.tw/shop/618422-日光徐徐"
"吐司吐司早餐店","920890","台南市中西區健康路一段348號","早餐","中式早餐",51,"http://www.ipeen.com.tw/shop/920890-吐司吐司早餐店"
"CHU HUA初花 BRUNCH COFFEE","610790","新北市永和區大新街36號","早餐","西式早餐",211,"http://www.ipeen.com.tw/shop/610790-CHU-HUA初花-BRUNCH-COFFEE"
"瑞彼特早午餐 Rabbit Brunch","605156","高雄市苓雅區民權一路43號","早餐","西式早餐",251,"http://www.ipeen.com.tw/shop/605156-瑞彼特早午餐-Rabbit-Brunch"
"雨田+","1111121","新北市新店區德正街22號","早餐","其他類型早餐",285,"http://www.ipeen.com.tw/shop/1111121-雨田"
"醇樸小鎮 SIMPLE TOWN","978872","新北市三重區新北大道ㄧ段46巷12號","早餐","其他類型早餐",150,"http://www.ipeen.com.tw/shop/978872-醇樸小鎮-SIMPLE-TOWN"
"性格<U+305B><U+3044><U+304B><U+304F> 早午餐","981402","台南市北區成功路68巷4-5號","早餐","西式早餐",154,"http://www.ipeen.com.tw/shop/981402-性格<U+305B><U+3044><U+304B><U+304F>-早午餐"
"小王子一號店(中山店)","141153","新北市板橋區中山路二段505巷5號","早餐","其他類型早餐",88,"http://www.ipeen.com.tw/shop/141153-小王子一號店-中山店"
"三悟棧咖啡旅店","956216","高雄市三民區錦田路173號","早餐","西式早餐",266,"http://www.ipeen.com.tw/shop/956216-三悟棧咖啡旅店"
"W Kitchen","1031390","高雄市鼓山區美術北三路66號","早餐","西式早餐",400,"http://www.ipeen.com.tw/shop/1031390-W-Kitchen"
"天味早餐咖啡道","955886","台中市西區健行路1020號1F","早餐","其他類型早餐",69,"http://www.ipeen.com.tw/shop/955886-天味早餐咖啡道"
"Right Caf'e X 對了 出發","1051132","台中市西區五權西四街13巷14號","早餐","早午餐",252,"http://www.ipeen.com.tw/shop/1051132-Right-Caf-e-X-對了-出發"
"斗南炸饅頭","629680","雲林縣斗南鎮中正路117號","早餐","中式早餐",50,"http://www.ipeen.com.tw/shop/629680-斗南炸饅頭"
"桔梗三明治","1101431","台北市大安區信義路三段150-2號1樓","早餐","西式早餐",387,"http://www.ipeen.com.tw/shop/1101431-桔梗三明治"
"雨田+","1111121","新北市新店區德正街22號","早餐","其他類型早餐",285,"http://www.ipeen.com.tw/shop/1111121-雨田"
"天津苟不理湯包","77021","台中市東區信義街63號","早餐","中式早餐",51,"http://www.ipeen.com.tw/shop/77021-天津苟不理湯包"
